App No: 76,Secy. Meekatharra Road board | Meekatharra | 1.9.30,Meekatharra W.A.,Lic No: 58,All types except multi-engined | All types 12/9/32 | Class 'B' 18.10.37,1.10.30 | Govt Drome,Invalid | ANR 1937 | Cancelled 14.12.45 | LG 236,-24.08,118.01,WA,Meekatharra W.A.,AN0076,LG 236,P019,1930,1930-1-1
App No: 77,Secy Road Board | Marble Bar W.A. | 11.9.30,Marble Bar W.A.,Lic No: 59,All types | Class 'C' in favourable winds (from 1.2.43) | Class 'B' (1/4/44),11.9.30,Government Aerodrome | LG 251,-21.17,119.74,WA,Marble Bar W.A.,AN0077,LG 251,P020,1930,1930-1-1
App No: 78,Wiluna Race Club | Wiluna W.A. | (Chairman - A. Paterson) | 20.9.30,Wiluna W.A.,Lic No: See application No.178,,,,-26.34,122.26,WA,Wiluna W.A.,AN0078,-,P020,,
App No: 79,The Leonora Jockey Club | Leonora | Western Australia | (S.G. Flanagan - Hon Sec) | 20.9.30,Leonora W.A.,Lic No:,All Types | see application No.125,,LG 294,-27.79,121.58,WA,Leonora W.A.,AN0079,LG 294,P020,,
App No: 80,Pinnacles Pty Ltd | Via Leonora | Western Australia | 20.9.30,The Pinnacles W.A.,Lic No: 101,All Types | (Prov-confirmed 27/4/32) | except large multi-engined types (21/12/38),20.1.32,6.4.42 | Cancelled | LG 288,-28.092325,120.540201,WA,The Pinnacles W.A.,AN0080,LG 288,P020,1932,1932-1-1
App No: 81,Municipal Council Wagga Wagga | and Shire Council Kycamba | 2.10.30,Wagga Wagga N.S.W.,Lic No: 60,All Types,1.10.30 | Govt Drome,30.9.33 | Lapsed | LG 253,-35.16,147.51,NSW,Wagga Wagga N.S.W.,AN0081,LG 253,P021,1930,1930-1-1
App No: 82,Maryborough City Council | Maryborough | Queensland | 4.10.30,Maryborough Q'ld,Lic No: 61,All types (prov) | New licence 1.4.31 | Class 'C',1.10.30 | Govt Drome,LG 249 | Under control | of R.A.A.F.,-25.47,152.66,QLD,Maryborough Q'ld,AN0082,LG 249,P021,1930,1930-1-1
App No: 83,The Mining Trust Ltd | Lawn Hill Mineral Field | Via Camooweal N.Q. | 7.10.30,Lawn Hill Q'ld,Lic No:,,,,-21.16,149.1,QLD,Lawn Hill Q'ld,AN0083,-,P021,,
App No: 84,George A. Robinson | Box 145B | Lismore | New South Wales | 17.10.30,Lismore N.S.W.,Lic No: 73,All types | Class 'B' in favourable winds,26.2.31,Cancelled | LG 267,-28.61,153.04,NSW,Lismore N.S.W.,AN0084,LG 267,P021,1931,1931-1-1
App No: 85,The Shire Council | Emerald | Queensland | 27.10.30,Emerald Q'ld,Lic No: 63,All types (prov) | Full 14.9.31 | Class 'C' | Below G. DW. FW. 2.5.48 | Provisional,27-10-30,Cancelled 29/4/49 | LG 270,-23.53,148.16,QLD,Emerald Q'ld,AN0085,LG 270,P022,1930,1930-1-1
App No: 86,Mr C.A. Sweeney | Nyora Farm | Tammin W.A. | 7.11.30,Tammin W.A.,Lic No: 65,All Types,1.12.30,Taken over as ELG | LG 250,-31.52,117.43,WA,Tammin W.A.,AN0086,LG 250,P022,1930,1930-1-1
App No: 87,S.J. Hayward | Secy Rottnest Board of Control | C/- Govt Tourist Bureau | 62 Barrack St Perth | 5.12.30,Rottnest Island W.A.,Lic No: 66,Restricted types,17.12.30,30.4.40 | Taken over by C'wlth (under lease) | as from 1.5.40 | LG 259,-32.01,115.5,WA,Rottnest Island W.A.,AN0087,LG 259,P022,1930,1930-1-1
App No: 88,Mr A.H.T. Sambell | 60 Market St | Melbourne C1 | 30.12.30,Cowes Phillip Island Vic,Lic No: 67,Restricted types,30.12.30,11.12.34 | Lapsed | LG 246,-38.452959,145.238474,VIC,Cowes Phillip Island Vic,AN0088,LG 246,P022,1930,1930-1-1
App No: 89,Burnett Air Navigations Ltd | Room 12 Hibernian Blds | Adelaide St | Brisbane | Queensland | 9.1.31,Kingaroy Q'ld,Lic No: 77,All types | (12 months provisional),19.5.31 | Govt Drome,31/5/33 | Lapsed | LG 375,-26.76,151.63,QLD,Kingaroy Q'ld,AN0089,LG 375,P023,1931,1931-1-1
App No: 90,Municipal Council | Council Chambers | Lismore | New South Wales | 7.1.31,Lismore N.S.W.,Lic No: 87,All Types,23.9.31,20.8.34 | Cancelled | LG 271,-28.61,153.04,NSW,Lismore N.S.W.,AN0090,LG 271,P023,1931,1931-1-1
App No: 91,District Council of Bute | Bute | South Australia | 12.1.31,Bute S.A.,Lic No: 71,All types | Class 'B' | Below G Dry weather 2.3.48 | Provisional,17.4.31,Cancelled 2/9/48 | LG 257,-33.86,138.01,SA,Bute S.A.,AN0091,LG 257,P023,1931,1931-1-1
App No: 92,Trustees of Old Bar Recreation Trust | V.R Rushby - Hon Secy | Taree | New South Wales | 12.1.31,Old Bar N.S.W.,Lic No: 68,All types | Class 'B' in favourable winds (as from 1.2.43) | Below G (DW)(FW) Provisional 1-5-48 | Non class Group 3 -5-49,22-9-31,Cancelled | LG 255 | ALG 11/7/50,-32.07,152.54,NSW,Old Bar N.S.W.,AN0092,LG 255,P023,1931,1931-1-1
App No: 93,Mr P.H. Sanderson | Somers | Vic | 23-1-31,Somers Vic,Lic No: 72,All types,23-1-31,24/8/34 | Cancelled | LG 256,-38.38,145.15,VIC,Somers Vic,AN0093,LG 256,P024,1931,1931-1-1
